id	phone_number	driver_id						
1	07085196831	37						
2	09040371088	3						
3	09040746530	10						
4	07150750974	19						
5	07083338169	39						
6	07118143007	13						
7	08194906837	20						
8	08190212379	20						
9	08168609747	36						
10	08066093051	37						
11	07011182807	32						
12	08178891629	40						
13	07127225201	45						
14	09111385689	26						
15	09161062710	36						
16	07023741522	26						
17	07163515075	42						
18	08158273761	43						
19	07074327696	8						
20	09186411272	32						
21	07193209294	24						
22	07185827718	14						
23	09084867308	17						
24	09149104435	45						
25	07074694979	28						
26	07148051670	34						
27	07082125167	38						
28	09195538563	36						
29	09169219935	41						
30	09066594097	47						
31	07152199830	33						
32	07078321576	18						
33	09157204470	31						
34	07064439527	44						
35	09191536232	10						
36	07118746743	48						
37	07125293285	6						
38	09180641332	20						
39	09071403633	22						
40	08059086532	26						
41	09188135582	46						
42	08127782984	21						
43	09110397834	36						
44	09146399955	5						
45	07088645611	50						
46	07057647799	23						
47	07135227277	39						
48	07024636791	30						
49	08063312755	31						
50	08180176729	20						
51	07140321238	15						
52	07199999908	19						
53	09197886071	20						
54	08041535055	45						
55	08179640122	36						
56	07181882455	4						
57	09022092583	11						
58	07132111696	33						
59	07091018123	40						
60	07157337846	23						
61	09125092724	20						
62	08023333868	12						
63	09054563468	26						
64	07159486623	20						
65	07010406006	25						
66	09082156812	44						
67	07117364632	12						
68	09118081393	12						
69	07119892083	28						
70	08013115712	24						
