visit_id,client_id,therapist_id,service_id,visit_ts
0,830-11-8837,150-60-1665,3,"2022/05/21, 09:34:39"
1,,150-60-1665,1,"2022/02/11, 23:51:36"
2,154-64-9693,030-45-1969,0,"2022/03/23, 15:21:37"
3,148-49-3184,030-45-1969,1,"2022/03/09, 17:27:23"
4,148-49-3184,150-60-1665,3,
5,594-87-8512,280-65-5827,2,"2022/02/09, 17:14:50"
6,,150-60-1665,4,"2022/01/08, 07:19:43"
7,431-25-4334,150-60-1665,3,"2022/03/03, 04:27:57"
8,038-37-7264,030-45-1969,4,"2022/01/20, 21:52:59"
9,898-73-3339,280-65-5827,1,"2022/04/25, 16:04:39"
10,488-22-2850,030-45-1969,1,"2022/02/16, 05:26:48"
