Doctor_Id,License_Number,Doctor_Name,Gender
1,54713.0,Ward Bein,Female
2,58952.0,Donald Condie,Transgender
3,51517.0,Jeffrey Friedman,Transgender
4,255819.0,Mihae Platt,Male
5,288074.0,Allison Nussbaum,Transgender
6,287676.0,Analise Peleggi,Transgender
7,39144.0,Barry Sugarman,Female
8,291575.0,Bella Vishnevsky,Female
9,208243.0,Elizabeth Davis,Male
10,283277.0,Karen Brody,Male
11,44565.0,Kenneth Lakritz,Transgender
12,156956.0,Kristin Bruning,Male
13,220574.0,Lawrence Specht,Male
14,243050.0,Martin Zammert,Transgender
15,220524.0,Matthew Tilem,Male
16,44506.0,Michael Thompson,Male
17,151835.0,Michael Yaffe,Female
18,37094.0,Michael Yogman,Transgender
19,291534.0,Rachel Carlson,Male
20,48377.0,Rizkalla Mouchati,Transgender
21,250525.0,Sara Coffey,Female
22,255050.0,Shireen Cama,Male
23,273981.0,Siddharth Sehgal,Male
24,73959.0,Stephen Pinals,Female
25,277859.0,Tyler Janovitz,Transgender
26,288737.0,Ajay Marken,Female
27,278828.0,Aleksey Tadevosyan,Female
28,286257.0,Alexander Pyden,Transgender
29,205294.0,Alfredo Martija,Female
30,266833.0,Ali Ebrahimi,Transgender
31,72812.0,Alison Mary,Transgender
32,281593.0,Andrew Skoirchet,Transgender
33,254191.0,Anika Forbes,Male
34,154522.0,Anisa Khaliq,Male
35,54217.0,Ann Epstein,Female
36,158848.0,Artur Zembowicz,Female
37,80642.0,Ayelet Barkai,Transgender
38,254483.0,Balram Sharma,Female
39,79834.0,Barbara Lewis,Transgender
40,242103.0,Barbara Voetsch,Female
41,255002.0,Benny Kim,Male
42,43324.0,Brijmohan Phull,Male
43,239611.0,Candace Adair,Male
44,37231.0,Carlo Saviano,Male
45,268634.0,Cherie Paquette,Male
46,227895.0,Christine Wittmann,Male
47,287952.0,Claire Bogan,Female
48,245819.0,Claire Brickell,Female
49,283206.0,Collin Culbertson,Female
50,73416.0,Cynthia Telingator,Female
51,259437.0,Damien Larkins,Female
52,54919.0,David Fassler,Transgender
53,216284.0,David Shaff,Transgender
54,55904.0,Deborah Choate,Transgender
55,75125.0,Debra Rosenblum,Female
56,246875.0,Deepika Shaligram,Transgender
57,283106.0,Devin Gibbs,Transgender
58,206049.0,Diana Gamser,Female
59,266499.0,Dita Mayer,Transgender
60,39579.0,Donald Meyer,Transgender
61,274487.0,Douglas Mata,Female
62,156539.0,Dov Fogel,Female
63,229241.0,Elizabeth Bundock,Transgender
64,205381.0,Elizabeth Caronna,Male
65,52642.0,Elizabeth Tomlinson,Male
66,36752.0,Ellen Blumenthal,Transgender
67,257434.0,Ellen Choi,Male
68,286152.0,Eric Grover,Male
69,158127.0,Frida Wosk,Male
70,260474.0,Gabriela Iagaru,Male
71,258559.0,Gina Deck,Transgender
72,60218.0,Gregory Lawrence,Female
73,31512.0,Halbert Miller,Transgender
74,258651.0,Harmony Abejuela,Female
75,28243.0,Harold Abramowitz,Female
76,34221.0,Hermine Makman,Female
77,234764.0,Jacob Elkins,Transgender
78,73514.0,James David,Male
79,73578.0,James Russell,Female
80,73660.0,Jeanne Michele,Female
81,56611.0,Jeffrey Kane,Transgender
82,248188.0,Jennifer Neuwalder,Female
83,227136.0,Jill Lanahan,Male
84,252883.0,Jing Bu,Transgender
85,265972.0,Johanna Helenius,Female
86,156568.0,John Koutras,Male
87,25560.0,John Mack,Male
88,79274.0,John Zebrun,Transgender
89,59697.0,Jonathan Florman,Male
90,287725.0,Jooyoung Lee,Female
91,233987.0,Josef Simon,Male
92,239763.0,Joseph Burns,Male
93,30890.0,Judith Borit,Transgender
94,223627.0,Julia Elvin,Male
95,291629.0,Kamal Al-Shalby,Female
96,80511.0,Karen Dusseault,Transgender
97,210278.0,Katherine Wang,Male
98,233632.0,Kelly Woyewodzic,Female
99,57412.0,Kenneth Hoffman,Male
100,39497.0,Kenneth Minkoff,Female
101,243326.0,Kenneth Walton,Female
102,257125.0,Kerry Wilkins,Female
103,245159.0,Kiron Thomas,Male
104,59991.0,Lani Jeanne,Male
105,205022.0,Laura Steele,Female
106,270657.0,Lauren Morris,Male
107,227366.0,Lauren Shin,Female
108,252080.0,Laurie Gray,Female
109,267347.0,Linsey Gill,Male
110,205404.0,Lisa Price,Female
111,44946.0,Loren Dribinsky,Male
112,257561.0,Louis Ostrowsky,Transgender
113,221381.0,Lynn Hironaka,Male
114,223251.0,Madhavi Kamireddi,Female
115,251324.0,Malak Rafla,Female
116,277715.0,Margaret Weiss,Male
117,270950.0,Maria Roccisano,Male
118,56908.0,Mark Strecker,Male
119,237214.0,Matthew Ehrlich,Transgender
120,217749.0,Melissa Lopez-Larson,Female
121,266563.0,Meredith Gansner,Male
122,36029.0,Michael Charney,Male
123,58162.0,Michael Rosenblatt,Female
124,35716.0,Milton Burglass,Male
125,230118.0,Mireya Nadal-Vicens,Male
126,73547.0,Miriam Lilla,Transgender
127,160264.0,Namrata Anand,Female
128,76574.0,Nancy Rappaport,Female
129,251055.0,Nathan Jones,Transgender
130,220493.0,Nicholas Carson,Male
131,287664.0,Nicholas Hurst,Male
132,233961.0,Nicoleta Coconcea,Transgender
133,231219.0,Pandeeswari Raveendran,Transgender
134,247973.0,Patricia Cho,Transgender
135,43994.0,Patricia Potter,Male
136,46685.0,Patricia Wright,Male
137,80954.0,Paul Hartman,Male
138,32511.0,Peter Musliner,Transgender
139,274220.0,Philip Aurigemma,Transgender
140,250586.0,Philip Skidd,Male
141,265224.0,Priya Sehgal,Female
142,235877.0,Rachad Rayess,Male
143,254283.0,Reji Attupurath,Male
144,231130.0,Robert Kitts,Male
145,76965.0,Robert Tittmann,Male
146,71560.0,Ronald Swanson,Female
147,280656.0,Samuel Scott,Transgender
148,154006.0,Sandra Dejong,Female
149,75753.0,Sanjay Gulati,Female
150,259507.0,Sara Lozyniak,Male
151,74550.0,Scott Gonzalez,Transgender
152,265551.0,Scott Yapo,Male
153,227400.0,Sejal Shah-Thum,Male
154,227579.0,Shadi Zaghloul,Male
155,253479.0,Shruti Sonni,Male
156,277188.0,Shuang Li,Transgender
157,245813.0,Sigalit Hoffman,Transgender
158,52861.0,Smita Patel,Female
159,231000.0,Sohail Mahboobi,Male
160,216795.0,Stephanie Blenner,Transgender
161,278714.0,Stephanie Fosbenner,Male
162,254392.0,Stephanie Hill,Female
163,267233.0,Stephen Klinge,Male
164,290689.0,Suliman El-Amin,Transgender
165,58235.0,Susannah Sherry,Female
166,216417.0,Susan Walker,Male
167,279342.0,Swathi Damodaran,Male
168,250653.0,Tanishia Choice,Transgender
169,235698.0,Theodore Murray,Female
170,250304.0,Thomas Gage,Male
171,286136.0,Timothy Shea,Transgender
172,159952.0,Tomomi Inomata,Female
173,232736.0,Tyrone Williams,Female
174,56599.0,William Sammons,Female
175,230978.0,Zev Schuman-Olivier,Male
176,290697.0,Aaron Berkenwald,Transgender
177,278279.0,Alexander Rozanski,Male
178,82050.0,Alice Hunter,Male
179,269205.0,Alice Uflacker,Female
180,229262.0,Alice Wang,Female
181,242639.0,Amanda Barnhart,Male
182,249882.0,Amber Frank,Female
183,258096.0,Ana Solky,Female
184,76860.0,Andrea Seek,Male
185,155805.0,Andrea Sorcini,Female
186,269696.0,Andrew Wiechert,Male
187,245380.0,Anita Hurwitz,Transgender
188,244341.0,Anjali Iyengar,Transgender
189,73257.0,Anne Charlotte,Transgender
190,78830.0,Anne Lennon,Female
191,37881.0,Anthony Disciullo,Female
192,158395.0,Anthony Schena,Transgender
193,211105.0,Arthur Mourtzinos,Female
194,216827.0,Arundhati Ghosh,Male
195,247048.0,Ashling O'Connor,Female
196,212481.0,Atoussa Goldar-Najafi,Female
197,264939.0,Avika Dixit,Transgender
198,282605.0,Azza Idris,Male
199,262329.0,Balaji Perumal,Female
200,209420.0,Barbara Angus,Male
201,158638.0,Barry Heath,Female
202,214873.0,Bartholomew Kane,Transgender
203,253147.0,Bedabrata Sarkar,Transgender
204,253799.0,Benjamin Chen,Transgender
205,216526.0,Benjamin Lee,Transgender
206,77563.0,Benjamin Scheindlin,Female
207,202771.0,Brian Jolley,Male
208,157527.0,Brian Max,Male
209,45417.0,Brinda Kamat,Female
210,238001.0,Cara Cimmino,Female
211,151154.0,Carrie Jones,Female
212,228524.0,Catherine Davis,Female
213,254277.0,Catline Jacques,Female
214,57701.0,Ceevah Blatman,Female
215,250663.0,Chad Galderisi,Female
216,245666.0,Chaitan Narsule,Transgender
217,278945.0,Christina Tierney,Female
218,230828.0,Christine Skiadas,Male
219,242710.0,Christopher Owens,Female
220,226962.0,Colleen Kelly,Male
221,252909.0,Daniel Vardeh,Female
222,80191.0,David Alan,Female
223,250434.0,David Diaz,Transgender
224,50914.0,David Irons,Female
225,262740.0,David Lerner,Transgender
226,242059.0,David Magit,Male
227,213874.0,Deborah James,Male
228,209128.0,Debra Mulley,Transgender
229,279157.0,Devin Prior,Female
230,216773.0,Diana Johanson,Male
231,278035.0,Dipak Ramkumar,Transgender
232,279667.0,Divyah Nagendra,Male
233,157004.0,Donald Reinke,Male
234,58495.0,Donald Stevens,Female
235,257305.0,Douglas Sproule,Female
236,208848.0,Elizabeth Maranzano,Male
237,227714.0,Elizabeth Munro,Male
238,242943.0,Elizabeth Prusak,Female
