id	card_number	issue_date	phone_number	passenger_id												
1	544530HCYX	2022-09-10	09120447932	178												
2	407423HMOZ	2022-10-14	09086357598	49												
3	802863PGJF	2022-12-15	07115261588	31												
4	578223DABG	2022-10-31	07169607155	18												
5	448670KPON	2022-10-04	09154893727	183												
6	186846QPNB	2022-09-14	08023163557	59												
7	404229VUAI	2022-06-12	08159904114	183												
8	709884KPXZ	2022-09-11	09146991618	83												
9	597528KVLI	2022-11-01	09131658018	31												
10	635234ECMF	2022-05-14	08159610057	17												
11	535807WYZT	2022-03-19	09197931061	130												
12	604328CJQH	2022-08-29	09079157130	2												
13	434723LYHQ	2022-02-09	08098665243	150												
14	143056QCCU	2022-11-25	09136616174	134												
15	454950FBGM	2022-08-17	09038570971	154												
16	829709PGUA	2022-02-14	08043268952	59												
17	240037ZGLF	2022-10-25	07166078681	101												
18	837842CTWO	2022-08-12	08125242204	53												
19	645210HXWX	2022-05-19	07145339746	148												
20	236465OGSK	2022-12-07	08044558766	164												
21	738345ISTO	2022-11-21	08029578885	52												
22	703423FDZI	2022-08-20	07069377455	76												
23	803138SUCU	2022-05-26	07068709989	93												
24	122517YUUU	2022-11-29	08083365317	194												
25	311265QORT	2022-03-01	09089790345	122												
26	195430CBCJ	2022-04-14	08195505855	4												
27	966295ZBFT	2022-02-15	09190697552	69												
28	371305ELSG	2022-07-28	08031604633	112												
29	117168JAZM	2022-06-21	09113188992	79												
30	551499GZKJ	2022-01-28	09072745906	92												
31	522650XHPG	2022-02-19	07195455626	123												
32	770302WNHA	2022-02-20	09018445229	198												
33	709003HVCW	2022-06-27	08024056680	131												
34	664419JVCJ	2022-05-31	08122303432	14												
35	591558EBZR	2022-07-16	08065181894	196												
36	828969ITUQ	2022-04-23	07199008944	87												
37	695693HTJS	2022-03-08	08196984905	6												
38	346182QJXI	2022-04-06	08048112910	12												
39	685921DOCI	2022-06-13	07133138223	25												
40	200223VCVP	2022-02-27	08078568011	196												
41	168274ALPF	2022-12-13	08068277135	44												
42	968076CZMP	2022-11-22	08043718851	85												
43	427807NXQL	2022-04-28	09190504904	57												
44	261193WXUW	2022-09-30	07014843255	83												
45	437269GJAK	2022-02-02	07031040078	198												
46	733544AWWB	2022-07-08	07057661350	118												
47	929327PRCH	2022-05-13	07173720873	126												
48	281263QACI	2022-06-26	08082059231	32												
49	527816UADI	2022-04-29	08181800132	56												
50	534968SSLD	2022-12-10	07063939221	52												
51	907402TELI	2022-10-03	07124185983	196												
52	836468SDOO	2022-07-28	07031956628	68												
53	714994VJWS	2022-05-06	07140154370	153												
54	201651MJPJ	2022-12-20	09083666679	135												
55	478137INTC	2022-12-04	08080870878	196												
56	283325AFOS	2022-12-11	07128883299	63												
57	917614UABM	2022-02-11	09137938799	134												
58	122250AOBU	2022-11-25	09085644132	110												
59	488814KYYB	2022-06-12	07185893391	9												
60	934757USZJ	2022-08-19	07058781186	130												
61	311740DJXR	2022-05-13	08011966300	172												
62	627176FQLP	2022-08-29	08146684490	39												
63	586344YNYO	2022-11-16	08012282535	138												
64	381186KVXQ	2022-04-08	07158783307	183												
65	516277GSAG	2022-02-27	09121967642	155												
66	772749FVJM	2022-11-18	09029268156	197												
67	373521ADSP	2022-07-21	09119328746	125												
68	840476BNZE	2022-07-07	09122933605	73												
69	319401RXJX	2022-04-02	09156750270	155												
70	840639ZWHM	2022-04-16	09054519933	35												
71	761365SNEE	2022-03-16	08154339601	49												
72	908474YPQS	2022-12-15	08072798773	135												
73	803195UANS	2022-10-02	08185265677	27												
74	137887NYVI	2022-05-30	07032695786	125												
75	303563QIEH	2022-11-23	07192127354	186												
76	689447XQUX	2022-09-23	07083324615	90												
77	439154RGAD	2022-09-13	09076575054	109												
78	265923WXMY	2022-07-22	09048838258	145												
79	268390SQIJ	2022-05-18	09125868842	62												
80	426142VGYM	2022-11-10	07146021701	70												
81	610276DXOI	2022-08-05	08013858030	184												
82	616521OFGA	2022-07-22	07170931906	41												
83	261988AFAG	2022-07-23	08091565429	193												
84	510544DYNG	2022-08-04	07072034249	123												
85	286535CFFG	2022-08-30	08014585626	65												
86	424851VKJS	2022-05-14	09096269813	118												
87	473571ZOHS	2022-07-01	09133476210	142												
88	551900UAMX	2022-10-28	07120730931	157												
89	998469CFPP	2022-05-22	07038339706	123												
90	177919RDPA	2022-07-09	09159866374	22												
91	484429RZZF	2022-08-03	09081168704	140												
92	450081USHM	2022-06-05	09114168199	194												
93	230823BXZU	2022-07-27	08024900641	8												
94	273050RGRU	2022-04-11	07092376526	16												
95	955908HYEL	2022-12-07	07165416461	109												
96	144856HXPQ	2022-04-26	07050553161	138												
97	801657FPTK	2022-05-20	07146004927	191												
98	636308VDBD	2022-01-15	08189906069	41												
99	824868VLJX	2022-09-20	08197380141	57												
100	642650AGOD	2022-07-16	09072092113	113												
101	578196JJJZ	2022-05-17	09182305820	191												
102	211141GVFV	2022-05-20	09047641624	137												
103	224824HJLD	2022-04-27	09037222418	116												
104	577185QTRN	2022-02-01	08022360901	187												
105	342118IUHF	2022-05-19	08022758719	64												
106	106651CYCC	2022-12-04	08130704374	171												
107	602898SJKF	2022-07-09	08060642341	142												
108	598509KQLQ	2022-06-01	08124613741	158												
109	720502SBKF	2022-08-06	09150529313	114												
110	371626OBCM	2022-10-27	08180290000	120												
111	580359BURN	2022-01-17	07089566706	166												
112	285509EIGY	2022-01-26	07166441874	153												
113	826670QISI	2022-08-07	07138532040	50												
114	228937JABY	2022-01-09	07030081006	37												
115	151860XTDM	2022-06-24	08085226175	67												
116	246957LIHK	2022-02-18	08027236979	80												
117	972112IKZW	2022-03-06	07167018256	123												
118	304987ACOR	2022-01-08	09022452024	17												
119	362928PVVC	2022-06-23	07151760884	130												
120	637217RSIH	2022-07-19	09166522114	122												
121	538715WXZT	2022-04-20	07010256740	115												
122	723575YVCJ	2022-12-18	07036902846	44												
123	429754JIKW	2022-10-28	08077997597	45												
124	858674XKGP	2022-04-08	08083365652	12												
125	375651IIVZ	2022-07-04	08092957610	198												
126	112154CNRV	2022-07-17	09016404623	172												
127	934926SQZT	2022-06-26	09017607380	87												
128	676172COAC	2022-11-30	07153048280	106												
129	980890XZCI	2022-06-24	07097523298	59												
130	759789VZAD	2022-09-09	07088504505	107												
131	745120MBQC	2022-01-14	09069038969	86												
132	258517KMZA	2022-05-31	08010829420	180												
133	188389QWSR	2022-11-18	09051636607	35												
