transaction_id,customer_id,transaction_date,wallet_id,type,amount
0,682-13-9504,"2022/04/05, 07:22:20",262-88-7085,debit,$9.20
1,047-84-1536,"2022/08/12, 20:50:59",244-88-7203,debit,$98.97
2,897-65-1195,"2022/01/06, 07:12:32",278-56-8435,credit,"$9,002.00"
3,760-32-7380,"2022/06/03, 06:33:09",244-88-7203,credit,$13.66
4,565-65-4390,"2022/07/15, 15:06:11",262-88-7085,credit,"$7,262.89"
5,007-39-5177,"2022/03/26, 13:49:04",244-88-7203,credit,$7.39
6,760-32-7380,"2022/05/23, 16:28:47",244-88-7203,credit,"$6,686.77"
7,007-39-5177,"2022/07/16, 17:19:21",527-05-6344,debit,"$5,070.50"
8,656-64-7897,"2022/01/09, 16:21:26",278-56-8435,credit,"$3,208.35"
9,565-65-4390,"2022/07/15, 11:38:59",262-88-7085,credit,"$2,546.76"
10,656-64-7897,"2022/05/27, 04:11:33",527-05-6344,credit,"$3,483.73"
11,682-13-9504,"2022/02/06, 13:14:00",890-16-9253,debit,"$6,506.18"
12,897-65-1195,"2022/08/07, 14:27:12",890-16-9253,debit,$51.40
13,047-84-1536,"2022/05/09, 00:38:40",278-56-8435,credit,$1.67
14,656-64-7897,"2022/09/02, 19:14:45",262-88-7085,credit,"$40,342.04"
15,453-50-5545,"2022/01/27, 05:39:11",262-88-7085,debit,$35.45
16,049-33-8100,"2022/04/01, 00:52:48",244-88-7203,debit,"$81,787.10"
17,007-39-5177,"2022/07/23, 02:54:32",890-16-9253,credit,$85.98
18,453-50-5545,"2022/03/27, 06:06:04",890-16-9253,credit,"$1,969.26"
19,047-84-1536,"2022/02/17, 09:54:37",278-56-8435,credit,$444.18
20,682-13-9504,"2022/07/23, 11:02:15",278-56-8435,debit,$43.35
21,565-65-4390,"2022/02/25, 01:41:40",890-16-9253,debit,$7.90
22,682-13-9504,"2022/06/22, 11:19:42",527-05-6344,debit,"$72,751.80"
23,047-84-1536,"2022/09/02, 08:59:39",262-88-7085,credit,"$9,249.50"
24,565-65-4390,"2022/06/17, 10:04:54",527-05-6344,debit,"$30,756.02"
25,897-65-1195,"2022/09/01, 18:53:07",527-05-6344,credit,$771.72
26,897-65-1195,"2022/04/27, 18:15:34",527-05-6344,debit,$93.76
27,682-13-9504,"2022/02/13, 07:54:12",890-16-9253,credit,"$2,455.48"
28,682-13-9504,"2022/06/27, 14:31:05",278-56-8435,credit,"$23,606.58"
29,007-39-5177,"2022/01/23, 06:00:27",527-05-6344,debit,"$34,912.32"
30,897-65-1195,"2022/01/30, 04:34:39",244-88-7203,debit,"$18,906.76"
31,565-65-4390,"2022/07/21, 21:39:58",890-16-9253,credit,$67.01
32,656-64-7897,"2022/04/13, 22:13:25",527-05-6344,credit,$77.92
33,760-32-7380,"2022/04/14, 11:46:26",527-05-6344,debit,$16.29
34,897-65-1195,"2022/07/03, 05:04:05",527-05-6344,debit,$5.93
35,897-65-1195,"2022/09/09, 15:03:11",527-05-6344,debit,$87.69
36,760-32-7380,"2022/03/13, 01:38:39",262-88-7085,credit,$65.48
37,049-33-8100,"2022/07/17, 20:37:49",278-56-8435,credit,"$5,894.64"
38,565-65-4390,"2022/06/22, 20:02:56",244-88-7203,credit,$50.28
39,047-84-1536,"2022/07/04, 02:51:37",244-88-7203,credit,$43.21
40,760-32-7380,"2022/08/26, 09:08:27",244-88-7203,credit,"$98,244.52"
41,007-39-5177,"2022/09/08, 01:24:05",262-88-7085,debit,$54.85
42,760-32-7380,"2022/02/05, 21:37:51",262-88-7085,credit,$99.59
43,047-84-1536,"2022/08/02, 10:22:51",244-88-7203,debit,"$2,196.72"
44,234-79-9186,"2022/03/22, 12:09:19",262-88-7085,credit,$75.52
45,234-79-9186,"2022/09/20, 07:46:36",890-16-9253,credit,$591.16
46,234-79-9186,"2022/04/12, 12:48:07",527-05-6344,credit,$50.11
47,565-65-4390,"2022/02/03, 22:31:07",890-16-9253,credit,$22.63
48,453-50-5545,"2022/05/21, 13:59:53",278-56-8435,debit,$486.79
49,234-79-9186,"2022/05/20, 18:13:36",890-16-9253,credit,"$3,118.80"
50,047-84-1536,"2022/04/16, 12:04:21",527-05-6344,credit,"$6,219.14"
51,007-39-5177,"2022/04/16, 23:37:09",262-88-7085,credit,$3.68
52,897-65-1195,"2022/01/05, 10:21:26",262-88-7085,credit,$79.87
53,682-13-9504,"2022/09/18, 20:54:44",278-56-8435,debit,"$7,558.68"
54,453-50-5545,"2022/02/10, 19:19:58",278-56-8435,credit,$371.77
55,007-39-5177,"2022/03/07, 03:43:25",527-05-6344,credit,$570.42
56,047-84-1536,"2022/02/24, 01:27:41",527-05-6344,credit,"$32,212.79"
57,897-65-1195,"2022/09/22, 02:40:44",244-88-7203,debit,"$52,640.80"
58,047-84-1536,"2022/03/14, 01:33:41",278-56-8435,credit,"$53,872.62"
59,234-79-9186,"2022/09/06, 11:58:05",262-88-7085,debit,"$7,204.83"
60,047-84-1536,"2022/05/21, 16:01:10",262-88-7085,credit,"$5,114.50"
61,234-79-9186,"2022/09/21, 03:22:33",262-88-7085,credit,$94.90
62,897-65-1195,"2022/08/26, 21:12:48",527-05-6344,debit,$92.65
63,049-33-8100,"2022/01/19, 05:00:32",527-05-6344,debit,$951.97
64,007-39-5177,"2022/09/01, 04:15:10",244-88-7203,credit,$69.22
65,897-65-1195,"2022/08/04, 18:43:36",890-16-9253,credit,"$93,313.36"
66,049-33-8100,"2022/04/13, 11:52:10",527-05-6344,debit,$73.86
67,565-65-4390,"2022/09/22, 19:56:47",262-88-7085,debit,$9.84
68,234-79-9186,"2022/06/27, 03:00:02",890-16-9253,debit,$561.51
69,760-32-7380,"2022/05/22, 17:51:57",244-88-7203,credit,$554.40
70,049-33-8100,"2022/08/05, 01:21:42",527-05-6344,credit,"$3,371.83"
71,897-65-1195,"2022/04/21, 23:30:02",278-56-8435,credit,$2.31
72,453-50-5545,"2022/02/03, 09:24:52",890-16-9253,credit,$2.65
73,234-79-9186,"2022/09/17, 16:05:35",890-16-9253,credit,$82.90
74,047-84-1536,"2022/02/06, 15:53:35",262-88-7085,credit,"$44,715.50"
75,897-65-1195,"2022/02/26, 03:19:54",244-88-7203,credit,$36.71
76,234-79-9186,"2022/08/31, 04:06:01",278-56-8435,debit,$17.63
77,049-33-8100,"2022/02/28, 18:51:55",527-05-6344,debit,$9.09
78,682-13-9504,"2022/05/20, 20:07:52",278-56-8435,debit,$87.20
79,656-64-7897,"2022/06/21, 12:13:56",262-88-7085,credit,$8.21
80,049-33-8100,"2022/07/31, 05:00:45",262-88-7085,debit,$80.65
81,049-33-8100,"2022/02/13, 09:47:09",890-16-9253,credit,"$1,749.58"
82,234-79-9186,"2022/06/23, 14:36:31",890-16-9253,credit,$21.30
83,760-32-7380,"2022/01/14, 07:03:39",527-05-6344,debit,"$9,527.85"
84,453-50-5545,"2022/07/26, 05:50:55",890-16-9253,credit,$69.38
85,565-65-4390,"2022/09/03, 19:48:50",262-88-7085,credit,$4.66
86,047-84-1536,"2022/07/19, 10:31:07",527-05-6344,debit,$63.92
87,897-65-1195,"2022/08/24, 20:30:29",244-88-7203,debit,$247.02
88,234-79-9186,"2022/07/23, 20:04:43",262-88-7085,debit,$7.50
89,234-79-9186,"2022/01/01, 06:33:54",262-88-7085,credit,"$21,684.31"
90,049-33-8100,"2022/02/25, 11:44:32",244-88-7203,credit,$28.06
91,047-84-1536,"2022/07/04, 01:18:07",262-88-7085,credit,$0.77
92,234-79-9186,"2022/04/01, 01:56:40",890-16-9253,credit,$692.36
93,760-32-7380,"2022/05/01, 04:37:45",278-56-8435,debit,"$79,933.82"
94,047-84-1536,"2022/04/11, 23:47:04",262-88-7085,credit,"$54,042.06"
95,682-13-9504,"2022/07/26, 00:03:50",278-56-8435,credit,$6.15
96,656-64-7897,"2022/07/07, 13:12:08",890-16-9253,credit,"$9,527.90"
97,682-13-9504,"2022/09/28, 12:12:34",262-88-7085,credit,$56.29
98,453-50-5545,"2022/08/16, 13:22:18",890-16-9253,debit,$5.28
99,049-33-8100,"2022/05/31, 20:47:17",244-88-7203,credit,"$35,878.92"
